messagecode,meldeklasse,priority,kurztext_2,kurztext_3,kurztext_4
25120,B,yellow,MVB: +1 КЛИП 02 ошибка связи,Поступило ДС 25120 MVB: +1 КЛИП 02 ошибка связи,Более не активно ДС 25120 MVB: +1 КЛИП 02 ошибка связи
25121,C,green,КЛИП: +1 АЗВ КЛИП 02,Поступило ДС 25121 КЛИП: +1 АЗВ КЛИП 02,Более не активно ДС 25121 КЛИП: +1 АЗВ КЛИП 02
25122,D,ignore,+1 SKS 02 Сдвиговый регистр ошибок,Поступило ДС 25122 +1 SKS 02 Сдвиговый регистр ошибок,Более не активно ДС 25122 +1 SKS 02 Сдвиговый регистр ошибок
25123,D,ignore,+1 SKS 02 NSDB-Ошибка,Поступило ДС 25123 +1 SKS 02 NSDB-Ошибка,Более не активно ДС 25123 +1 SKS 02 NSDB-Ошибка
25124,D,ignore,+1 SKS 02 Ошибка компонента,Поступило ДС 25124 +1 SKS 02 Ошибка компонента,Более не активно ДС 25124 +1 SKS 02 Ошибка компонента
25130,B,yellow,MVB:  +1 КЛИП 03 ошибка связи,Поступило ДС 25130 MVB:  +1 КЛИП 03 ошибка связи,Более не активно ДС 25130 MVB:  +1 КЛИП 03 ошибка связи
25131,C,green,КЛИП: +1 АЗВ  КЛИП 03,Поступило ДС 25131 КЛИП: +1 АЗВ  КЛИП 03,Более не активно ДС 25131 КЛИП: +1 АЗВ  КЛИП 03
25132,D,ignore,+1 SKS 03 Сдвиговый регистр ошибок,Поступило ДС 25132 +1 SKS 03 Сдвиговый регистр ошибок,Более не активно ДС 25132 +1 SKS 03 Сдвиговый регистр ошибок
25133,D,ignore,+1 SKS 03 NSDB-Ошибка,Поступило ДС 25133 +1 SKS 03 NSDB-Ошибка,Более не активно ДС 25133 +1 SKS 03 NSDB-Ошибка
25134,D,ignore,+1 SKS 03 Ошибка компонента,Поступило ДС 25134 +1 SKS 03 Ошибка компонента,Более не активно ДС 25134 +1 SKS 03 Ошибка компонента
25140,B,yellow,MVB:  +1 КЛИП 04 ошибка связи,Поступило ДС 25140 MVB:  +1 КЛИП 04 ошибка связи,Более не активно ДС 25140 MVB:  +1 КЛИП 04 ошибка связи
25141,C,green,КЛИП: +1 АЗВ КЛИП 04,Поступило ДС 25141 КЛИП: +1 АЗВ КЛИП 04,Более не активно ДС 25141 КЛИП: +1 АЗВ КЛИП 04
25142,D,ignore,+1 SKS 04 Сдвиговый регистр ошибок,Поступило ДС 25142 +1 SKS 04 Сдвиговый регистр ошибок,Более не активно ДС 25142 +1 SKS 04 Сдвиговый регистр ошибок
25143,D,ignore,+1 SKS 04 NSDB-Ошибка,Поступило ДС 25143 +1 SKS 04 NSDB-Ошибка,Более не активно ДС 25143 +1 SKS 04 NSDB-Ошибка
25144,D,ignore,+1 SKS 04 Ошибка компонента,Поступило ДС 25144 +1 SKS 04 Ошибка компонента,Более не активно ДС 25144 +1 SKS 04 Ошибка компонента
25160,B,yellow,MVB:  +1 КЛИП 06 ошибка связи,Поступило ДС 25160 MVB:  +1 КЛИП 06 ошибка связи,Более не активно ДС 25160 MVB:  +1 КЛИП 06 ошибка связи
25161,C,green,КЛИП: +1 АЗВ КЛИП 06,Поступило ДС 25161 КЛИП: +1 АЗВ КЛИП 06,Более не активно ДС 25161 КЛИП: +1 АЗВ КЛИП 06
25162,D,ignore,+1 SKS 06 Сдвиговый регистр ошибок,Поступило ДС 25162 +1 SKS 06 Сдвиговый регистр ошибок,Более не активно ДС 25162 +1 SKS 06 Сдвиговый регистр ошибок
25163,D,ignore,+1 SKS 06 NSDB-Ошибка,Поступило ДС 25163 +1 SKS 06 NSDB-Ошибка,Более не активно ДС 25163 +1 SKS 06 NSDB-Ошибка
25164,D,ignore,+1 SKS 06 Ошибка компонента,Поступило ДС 25164 +1 SKS 06 Ошибка компонента,Более не активно ДС 25164 +1 SKS 06 Ошибка компонента
25210,B,yellow,MVB:  +2 КЛИП 01 ошибка связи,Поступило ДС 25210 MVB:  +2 КЛИП 01 ошибка связи,Более не активно ДС 25210 MVB:  +2 КЛИП 01 ошибка связи
25211,C,green,КЛИП: +2 АЗВ КЛИП 01,Поступило ДС 25211 КЛИП: +2 АЗВ КЛИП 01,Более не активно ДС 25211 КЛИП: +2 АЗВ КЛИП 01
25212,D,ignore,+2 БСС 01 Сдвиговый регистр ошибок,Поступило ДС 25212 +2 БСС 01 Сдвиговый регистр ошибок,Более не активно ДС 25212 +2 БСС 01 Сдвиговый регистр ошибок
25213,D,ignore,+2 SKS 01 NSDB-Ошибка,Поступило ДС 25213 +2 SKS 01 NSDB-Ошибка,Более не активно ДС 25213 +2 SKS 01 NSDB-Ошибка
25214,D,ignore,+2 SKS 01 Ошибка компонента,Поступило ДС 25214 +2 SKS 01 Ошибка компонента,Более не активно ДС 25214 +2 SKS 01 Ошибка компонента
25220,B,yellow,MVB:  +2 КЛИП 02 ошибка связи,Поступило ДС 25220 MVB:  +2 КЛИП 02 ошибка связи,Более не активно ДС 25220 MVB:  +2 КЛИП 02 ошибка связи
