messagecode,meldeklasse,priority,kurztext_2,kurztext_3,kurztext_4
21000,A,red,Сил.Сх.: +3 разъединитель 3кВ,Поступило ДС 21000 Сил.Сх.: +3 разъединитель 3кВ,Более не активно ДС 21000 Сил.Сх.: +3 разъединитель 3кВ
21001,A,red,Сил.Сх.: +3 разъединитель 3кВ,Поступило ДС 21001 Сил.Сх.: +3 разъединитель 3кВ,Более не активно ДС 21001 Сил.Сх.: +3 разъединитель 3кВ
21002,C,green,Сил.Сх.: +3 разъединитель 3кВ,Поступило ДС 21002 Сил.Сх.: +3 разъединитель 3кВ,Более не активно ДС 21002 Сил.Сх.: +3 разъединитель 3кВ
21003,A,red,Сил.Сх.: +3 разъединитель 3кВ,Поступило ДС 21003 Сил.Сх.: +3 разъединитель 3кВ,Более не активно ДС 21003 Сил.Сх.: +3 разъединитель 3кВ
21004,M,yellow,Сил.Сх.: +3 разъединитель 3кВ,Разъединитель 3кВ заблокирован с ИЧМ,Разъединитель 3кВ разблокирован с ИЧМ
21005,A,red,Сил.Сх.: +3 разъединитель 3кВ,Поступило ДС 21005 Сил.Сх.: +3 разъединитель 3кВ,Более не активно ДС 21005 Сил.Сх.: +3 разъединитель 3кВ
21006,A,red,Сил.Сх.: +5 разъединитель 25кВ,Поступило ДС 21006 Сил.Сх.: +5 разъединитель 25кВ,Более не активно ДС 21006 Сил.Сх.: +5 разъединитель 25кВ
21007,A,red,Сил.Сх.: +5 разъединитель 25кВ,Поступило ДС 21007 Сил.Сх.: +5 разъединитель 25кВ,Более не активно ДС 21007 Сил.Сх.: +5 разъединитель 25кВ
21008,C,green,Сил.Сх.: +5 разъединитель 25кВ,Поступило ДС 21008 Сил.Сх.: +5 разъединитель 25кВ,Более не активно ДС 21008 Сил.Сх.: +5 разъединитель 25кВ
21009,A,red,Сил.Сх.: +5 разъединитель 25кВ,Поступило ДС 21009 Сил.Сх.: +5 разъединитель 25кВ,Более не активно ДС 21009 Сил.Сх.: +5 разъединитель 25кВ
21010,M,yellow,Сил.Сх.: +5 разъединитель 25кВ,Разъединитель 25кВ заблокирован с ИЧМ,Разъединитель 25кВ разблокирован с ИЧМ
21011,A,red,Сил.Сх.: +5 разъединитель 25кВ,Поступило ДС 21011 Сил.Сх.: +5 разъединитель 25кВ,Более не активно ДС 21011 Сил.Сх.: +5 разъединитель 25кВ
21012,M,yellow,Сил.Сх.: +5 разъединитель 25кВ,Поступило ДС 21012 Сил.Сх.: +5 разъединитель 25кВ,Более не активно ДС 21012 Сил.Сх.: +5 разъединитель 25кВ
21013,M,yellow,Сил.Сх.: Система распознавания рода тока,Поступило ДС 21013 Сил.Сх.: Система распознавания рода тока,Более не активно ДС 21013 Сил.Сх.: Система распознавания рода тока
21014,M,yellow,Сил.Сх.: Ток перегрузки в крышевой проводке 25 кВ,Поступило ДС 21014 Сил.Сх.: Ток перегрузки в крышевой проводке 25 кВ,Более не активно ДС 21014 Сил.Сх.: Ток перегрузки в крышевой проводке 25 кВ
21015,M,yellow,Сил.Сх.: Превышение разностного тока на линии 25 кВ,Поступило ДС 21015 Сил.Сх.: Превышение разностного тока на линии 25 кВ,Более не активно ДС 21015 Сил.Сх.: Превышение разностного тока на линии 25 кВ
21016,M,yellow,Сил.Сх.: Ток перегрузки на шине отопления пост. тока 3 кВ,Поступило ДС 21016 Сил.Сх.: Ток перегрузки на шине отопления пост. тока 3 кВ,Более не активно ДС 21016 Сил.Сх.: Ток перегрузки на шине отопления пост. тока 3 кВ
21017,M,yellow,Сил.Сх.: БЛОК выключил БВ/ГВ,Поступило ДС 21017 Сил.Сх.: БЛОК выключил БВ/ГВ,Более не активно ДС 21017 Сил.Сх.: БЛОК выключил БВ/ГВ
21018,M,yellow,АВАРИЙНАЯ ОСТАНОВКА,Нажата кнопка АВАРИЙНАЯ ОСТАНОВКА,Отпущена кнопка АВАРИЙНАЯ ОСТАНОВКА
21019,M,yellow,Сил.Сх.: +3 Ключ А приведен в действие,Сил.Сх.: +3 Ключ А приведен в действие,Сил.Сх.: +3 Ключ А приведен в действие вернули в исходное положение
21021,C,green,Сил.Сх.: +5 АЗВ разъединитель 25кВ,Поступило ДС 21021 Сил.Сх.: +5 АЗВ разъединитель 25кВ,Более не активно ДС 21021 Сил.Сх.: +5 АЗВ разъединитель 25кВ
21022,D,ignore,+1 перекидной ключ токоприемника: ошибка резервирования в положении подъема,Поступило ДС 21022 +1 перекидной ключ токоприемника: ошибка резервирования в положении подъема,Более не активно ДС 21022 +1 перекидной ключ токоприемника: ошибка резервирования в положении подъема
21023,D,ignore,+1 перекидной ключ токоприемника: ошибка резервирования в положении опускания,Поступило ДС 21023 +1 перекидной ключ токоприемника: ошибка резервирования в положении опускания,Более не активно ДС 21023 +1 перекидной ключ токоприемника: ошибка резервирования в положении опускания
21024,D,ignore,+2 перекидной ключ токоприемника: ошибка резервирования в положении подъема,Поступило ДС 21024 +2 перекидной ключ токоприемника: ошибка резервирования в положении подъема,Более не активно ДС 21024 +2 перекидной ключ токоприемника: ошибка резервирования в положении подъема
21025,D,ignore,+2 перекидной ключ токоприемника: ошибка резервирования в положении опускания,Поступило ДС 21025 +2 перекидной ключ токоприемника: ошибка резервирования в положении опускания,Более не активно ДС 21025 +2 перекидной ключ токоприемника: ошибка резервирования в положении опускания
21026,D,ignore,+1 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.,Поступило ДС 21026 +1 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.,Более не активно ДС 21026 +1 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.
21027,D,ignore,+1 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.,Поступило ДС 21027 +1 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.,Более не активно ДС 21027 +1 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.
21028,D,ignore,+2 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.,Поступило ДС 21028 +2 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.,Более не активно ДС 21028 +2 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.
21029,D,ignore,+2 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.,Поступило ДС 21029 +2 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.,Более не активно ДС 21029 +2 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.
21031,D,ignore,+5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал A),Поступило ДС 21031 +5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал A),Более не активно ДС 21031 +5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал A)
21032,D,ignore,+5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал В),Поступило ДС 21032 +5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал В),Более не активно ДС 21032 +5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал В)
21033,D,ignore,"Ключ А, ошибка резервирования","Поступило ДС 21033 Ключ А, ошибка резервирования","Более не активно ДС 21033 Ключ А, ошибка резервирования"
21035,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +3UWDS, неприемлемые значения","Поступило ДС 21035 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +3UWDS, неприемлемые значения","Более не активно ДС 21035 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +3UWDS, неприемлемые значения"
21036,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +4UWDS, неприемлемые значения","Поступило ДС 21036 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +4UWDS, неприемлемые значения","Более не активно ДС 21036 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +4UWDS, неприемлемые значения"
21037,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 1, неприемлемые значения","Поступило ДС 21037 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 1, неприемлемые значения","Более не активно ДС 21037 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 1, неприемлемые значения"
21038,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 2, неприемлемые значения","Поступило ДС 21038 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 2, неприемлемые значения","Более не активно ДС 21038 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 2, неприемлемые значения"
21039,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 11, неприемлемые значения","Поступило ДС 21039 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 11, неприемлемые значения","Более не активно ДС 21039 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 11, неприемлемые значения"
21040,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 11, неприемлемые значения","Поступило ДС 21040 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 11, неприемлемые значения","Более не активно ДС 21040 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 11, неприемлемые значения"
21041,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 12, неприемлемые значения","Поступило ДС 21041 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 12, неприемлемые значения","Более не активно ДС 21041 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 12, неприемлемые значения"
21042,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 12, неприемлемые значения","Поступило ДС 21042 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 12, неприемлемые значения","Более не активно ДС 21042 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 12, неприемлемые значения"
21043,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 21, неприемлемые значения","Поступило ДС 21043 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 21, неприемлемые значения","Более не активно ДС 21043 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 21, неприемлемые значения"
21044,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 21, неприемлемые значения","Поступило ДС 21044 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 21, неприемлемые значения","Более не активно ДС 21044 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 21, неприемлемые значения"
21045,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 22, неприемлемые значения","Поступило ДС 21045 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 22, неприемлемые значения","Более не активно ДС 21045 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 22, неприемлемые значения"
21046,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 22, неприемлемые значения","Поступило ДС 21046 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 22, неприемлемые значения","Более не активно ДС 21046 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 22, неприемлемые значения"
21047,D,ignore,"Отмена проверки петли главного выключателя пост. тока: коммутационный контакт, ЦБУ, модуль +3UWDS, неприемлемые значения","Поступило ДС 21047 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт, ЦБУ, модуль +3UWDS, неприемлемые значения","Более не активно ДС 21047 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт, ЦБУ, модуль +3UWDS, неприемлемые значения"
21048,D,ignore,"Отмена проверки петли главного выключателя пост. тока: коммутационный контакт, ЦБУ, модуль +4UWDS, неприемлемые значения","Поступило ДС 21048 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт, ЦБУ, модуль +4UWDS, неприемлемые значения","Более не активно ДС 21048 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт, ЦБУ, модуль +4UWDS, неприемлемые значения"
21049,D,ignore,"Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 11, неприемлемые значения","Поступило ДС 21049 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 11, неприемлемые значения","Более не активно ДС 21049 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 11, неприемлемые значения"
21050,D,ignore,"Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 11, неприемлемые значения","Поступило ДС 21050 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 11, неприемлемые значения","Более не активно ДС 21050 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 11, неприемлемые значения"
21051,D,ignore,"Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 12, неприемлемые значения","Поступило ДС 21051 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 12, неприемлемые значения","Более не активно ДС 21051 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 12, неприемлемые значения"
21052,D,ignore,"Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 12, неприемлемые значения","Поступило ДС 21052 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 12, неприемлемые значения","Более не активно ДС 21052 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 12, неприемлемые значения"
21053,D,ignore,"Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 21, неприемлемые значения","Поступило ДС 21053 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 21, неприемлемые значения","Более не активно ДС 21053 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 21, неприемлемые значения"
21054,D,ignore,"Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 21, неприемлемые значения","Поступило ДС 21054 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 21, неприемлемые значения","Более не активно ДС 21054 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 21, неприемлемые значения"
21055,D,ignore,"Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 22, неприемлемые значения","Поступило ДС 21055 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 22, неприемлемые значения","Более не активно ДС 21055 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 22, неприемлемые значения"
21056,D,ignore,"Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 22, неприемлемые значения","Поступило ДС 21056 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 22, неприемлемые значения","Более не активно ДС 21056 Отмена проверки петли главного выключателя пост. тока: коммутационный контакт 1 (импульсный инвертор), БУП 22, неприемлемые значения"
21057,M,yellow,Сил.Сх: Тест петли ГВ,Поступило ДС 21057 Сил.Сх: Тест петли ГВ,Более не активно ДС 21057 Сил.Сх: Тест петли ГВ
21058,M,yellow,Сил.Сх: Тест петли БВ,Поступило ДС 21058 Сил.Сх: Тест петли БВ,Более не активно ДС 21058 Сил.Сх: Тест петли БВ
21059,M,yellow,Сил.Сх.: +3 БВ/ГВ заблокирован,Поступило ДС 21059 Сил.Сх.: +3 БВ/ГВ заблокирован,Более не активно ДС 21059 Сил.Сх.: +3 БВ/ГВ заблокирован
21060,M,yellow,Сил.Сх.: +4 БВ/ГВ заблокирован,Поступило ДС 21060 Сил.Сх.: +4 БВ/ГВ заблокирован,Более не активно ДС 21060 Сил.Сх.: +4 БВ/ГВ заблокирован
21061,C,green,Сил.Сх.: +1 АЗВ счетчик эл. энергии,Поступило ДС 21061 Сил.Сх.: +1 АЗВ счетчик эл. энергии,Более не активно ДС 21061 Сил.Сх.: +1 АЗВ счетчик эл. энергии
21062,C,green,Сил.Сх.: +2 АЗВ счетчик эл. энергии,Поступило ДС 21062 Сил.Сх.: +2 АЗВ счетчик эл. энергии,Более не активно ДС 21062 Сил.Сх.: +2 АЗВ счетчик эл. энергии
21063,M,yellow,Сил.Сх.: +3 БУП заблокировал БВ/ГВ,Поступило ДС 21063 Сил.Сх.: +3 БУП заблокировал БВ/ГВ,Более не активно ДС 21063 Сил.Сх.: +3 БУП заблокировал БВ/ГВ
21064,M,yellow,Сил.Сх.: +4 БУП заблокировал БВ/ГВ,Поступило ДС 21064 Сил.Сх.: +4 БУП заблокировал БВ/ГВ,Более не активно ДС 21064 Сил.Сх.: +4 БУП заблокировал БВ/ГВ
21065,C,green,Сил.Сх.: +3 Запрет включения ГВ/БВ,Поступило ДС 21065 Сил.Сх.: +3 Запрет включения ГВ/БВ,Более не активно ДС 21065 Сил.Сх.: +3 Запрет включения ГВ/БВ
21066,C,green,Сил.Сх.: +4 Запрет включения ГВ/БВ,Поступило ДС 21066 Сил.Сх.: +4 Запрет включения ГВ/БВ,Более не активно ДС 21066 Сил.Сх.: +4 Запрет включения ГВ/БВ
21300,C,green,Сил.Сх.: +3 токоприёмник,Поступило ДС 21300 Сил.Сх.: +3 токоприёмник,Более не активно ДС 21300 Сил.Сх.: +3 токоприёмник
21301,A,red,Сил.Сх.: +3 токоприёмник,Поступило ДС 21301 Сил.Сх.: +3 токоприёмник,Более не активно ДС 21301 Сил.Сх.: +3 токоприёмник
21302,A,red,Сил.Сх.: +3 токоприёмник,Поступило ДС 21302 Сил.Сх.: +3 токоприёмник,Более не активно ДС 21302 Сил.Сх.: +3 токоприёмник
21303,M,yellow,Сил.Сх.: +3 токоприёмник,Токоприёмник вагона +300 заблокирован с ИЧМ,Токоприёмник вагона +300 разблокирован с ИЧМ
21304,C,green,Сил.Сх.: +3 токоприёмник,Поступило ДС 21304 Сил.Сх.: +3 токоприёмник,Более не активно ДС 21304 Сил.Сх.: +3 токоприёмник
21305,A,red,Сил.Сх.: +3 токоприёмник,Поступило ДС 21305 Сил.Сх.: +3 токоприёмник,Более не активно ДС 21305 Сил.Сх.: +3 токоприёмник
21306,C,green,Сил.Сх.: +3 токоприёмник,Поступило ДС 21306 Сил.Сх.: +3 токоприёмник,Более не активно ДС 21306 Сил.Сх.: +3 токоприёмник
21307,C,green,Сил.Сх.: +3 устройство распознавания рода тока,Поступило ДС 21307 Сил.Сх.: +3 устройство распознавания рода тока,Более не активно ДС 21307 Сил.Сх.: +3 устройство распознавания рода тока
21308,A,red,Сил.Сх.: +3 системный переключатель,Поступило ДС 21308 Сил.Сх.: +3 системный переключатель,Более не активно ДС 21308 Сил.Сх.: +3 системный переключатель
21309,A,red,Сил.Сх.: +3 системный переключатель,Поступило ДС 21309 Сил.Сх.: +3 системный переключатель,Более не активно ДС 21309 Сил.Сх.: +3 системный переключатель
21310,C,green,Сил.Сх.: +3 системный переключатель,Поступило ДС 21310 Сил.Сх.: +3 системный переключатель,Более не активно ДС 21310 Сил.Сх.: +3 системный переключатель
21312,C,green,Вспомогательный компрессор: +3 АЗВ,Поступило ДС 21312 Вспомогательный компрессор: +3 АЗВ,Более не активно ДС 21312 Вспомогательный компрессор: +3 АЗВ
21317,B,yellow,Сил.Сх.: +3 ЦБУ модуль UWDS,Поступило ДС 21317 Сил.Сх.: +3 ЦБУ модуль UWDS,Более не активно ДС 21317 Сил.Сх.: +3 ЦБУ модуль UWDS
21319,C,green,Сил.Сх.: +3 АЗВ токоприёмник,Поступило ДС 21319 Сил.Сх.: +3 АЗВ токоприёмник,Более не активно ДС 21319 Сил.Сх.: +3 АЗВ токоприёмник
21320,C,green,Сил.Сх.: +3 АЗВ разъединитель,Поступило ДС 21320 Сил.Сх.: +3 АЗВ разъединитель,Более не активно ДС 21320 Сил.Сх.: +3 АЗВ разъединитель
21321,M,yellow,"Сил.Сх.: +3 UWDS, блокировка тягового преобразователя","Поступило ДС 21321 Сил.Сх.: +3 UWDS, блокировка тягового преобразователя","Более не активно ДС 21321 Сил.Сх.: +3 UWDS, блокировка тягового преобразователя"
21322,M,yellow,"Сил.Сх.: +3 UWDS, разомкнуть главный выключатель","Поступило ДС 21322 Сил.Сх.: +3 UWDS, разомкнуть главный выключатель","Более не активно ДС 21322 Сил.Сх.: +3 UWDS, разомкнуть главный выключатель"
21323,C,green,Сил.Сх.: +3 Гл. трансформатор,Поступило ДС 21323 Сил.Сх.: +3 Гл. трансформатор,Более не активно ДС 21323 Сил.Сх.: +3 Гл. трансформатор
21324,C,green,Сил.Сх.: +3 Гл. трансформатор,Поступило ДС 21324 Сил.Сх.: +3 Гл. трансформатор,Более не активно ДС 21324 Сил.Сх.: +3 Гл. трансформатор
21325,A,red,Сил.Сх.: +3 ГВ,Поступило ДС 21325 Сил.Сх.: +3 ГВ,Более не активно ДС 21325 Сил.Сх.: +3 ГВ
21330,A,red,Сил.Сх.: +3 ГВ,Поступило ДС 21330 Сил.Сх.: +3 ГВ,Более не активно ДС 21330 Сил.Сх.: +3 ГВ
21331,A,red,Сил.Сх.: +3 ГВ,Поступило ДС 21331 Сил.Сх.: +3 ГВ,Более не активно ДС 21331 Сил.Сх.: +3 ГВ
21332,C,green,Сил.Сх.: +3 ГВ,Поступило ДС 21332 Сил.Сх.: +3 ГВ,Более не активно ДС 21332 Сил.Сх.: +3 ГВ
21333,A,red,Сил.Сх.: +3 ГВ,Поступило ДС 21333 Сил.Сх.: +3 ГВ,Более не активно ДС 21333 Сил.Сх.: +3 ГВ
21334,A,red,Сил.Сх.: +3 ГВ,Поступило ДС 21334 Сил.Сх.: +3 ГВ,Более не активно ДС 21334 Сил.Сх.: +3 ГВ
21335,M,yellow,Сил.Сх.: +3 ГВ,ГВ вагона +300 заблокирован с ИЧМ,ГВ вагона +300 разблокирован с ИЧМ
21336,B,yellow,Сил.Сх.: +3 Гл. трансформатор,Поступило ДС 21336 Сил.Сх.: +3 Гл. трансформатор,Более не активно ДС 21336 Сил.Сх.: +3 Гл. трансформатор
21337,A,red,Сил.Сх.: +3 Гл. трансформатор,Поступило ДС 21337 Сил.Сх.: +3 Гл. трансформатор,Более не активно ДС 21337 Сил.Сх.: +3 Гл. трансформатор
21338,M,yellow,Сил.Сх.: +3 Гл. трансформатор / дроссель сетевого фильтра,Поступило ДС 21338 Сил.Сх.: +3 Гл. трансформатор / дроссель сетевого фильтра,Более не активно ДС 21338 Сил.Сх.: +3 Гл. трансформатор / дроссель сетевого фильтра
21339,M,yellow,Сил.Сх.: +3 Гл. трансформатор,Поступило ДС 21339 Сил.Сх.: +3 Гл. трансформатор,Более не активно ДС 21339 Сил.Сх.: +3 Гл. трансформатор
21340,M,yellow,Сил.Сх.: +3 Гл. трансформатор,Поступило ДС 21340 Сил.Сх.: +3 Гл. трансформатор,Более не активно ДС 21340 Сил.Сх.: +3 Гл. трансформатор
21341,M,yellow,Сил.Сх.: +3 Гл. трансформатор,Поступило ДС 21341 Сил.Сх.: +3 Гл. трансформатор,Более не активно ДС 21341 Сил.Сх.: +3 Гл. трансформатор
21342,M,yellow,Сил.Сх.: +3 Низкое напряжение конт. сети переменного тока,Поступило ДС 21342 Сил.Сх.: +3 Низкое напряжение конт. сети переменного тока,Более не активно ДС 21342 Сил.Сх.: +3 Низкое напряжение конт. сети переменного тока
21343,M,yellow,Сил.Сх.: +3 Повышенное напряжение конт. сети переменного тока,Поступило ДС 21343 Сил.Сх.: +3 Повышенное напряжение конт. сети переменного тока,Более не активно ДС 21343 Сил.Сх.: +3 Повышенное напряжение конт. сети переменного тока
21344,M,yellow,Сил.Сх.: +3 Частота питающей сети,Поступило ДС 21344 Сил.Сх.: +3 Частота питающей сети,Более не активно ДС 21344 Сил.Сх.: +3 Частота питающей сети
21346,A,red,Сил.Сх.: +3 Датчик сетевого переменного тока,Поступило ДС 21346 Сил.Сх.: +3 Датчик сетевого переменного тока,Более не активно ДС 21346 Сил.Сх.: +3 Датчик сетевого переменного тока
21347,A,red,Сил.Сх.: +3 разъединитель 3кВ,Поступило ДС 21347 Сил.Сх.: +3 разъединитель 3кВ,Более не активно ДС 21347 Сил.Сх.: +3 разъединитель 3кВ
21348,A,red,Сил.Сх.: +3 разъединитель 3кВ,Поступило ДС 21348 Сил.Сх.: +3 разъединитель 3кВ,Более не активно ДС 21348 Сил.Сх.: +3 разъединитель 3кВ
21349,B,yellow,Сил.Сх.: +3 разъединитель 3кВ,Поступило ДС 21349 Сил.Сх.: +3 разъединитель 3кВ,Более не активно ДС 21349 Сил.Сх.: +3 разъединитель 3кВ
21350,A,red,Сил.Сх.: +3 разъединитель 3кВ,Поступило ДС 21350 Сил.Сх.: +3 разъединитель 3кВ,Более не активно ДС 21350 Сил.Сх.: +3 разъединитель 3кВ
21351,A,red,Сил.Сх.: +3 разъединитель 3кВ,Поступило ДС 21351 Сил.Сх.: +3 разъединитель 3кВ,Более не активно ДС 21351 Сил.Сх.: +3 разъединитель 3кВ
21353,C,green,Сил.Сх.: +3 АЗВ ГВ,Поступило ДС 21353 Сил.Сх.: +3 АЗВ ГВ,Более не активно ДС 21353 Сил.Сх.: +3 АЗВ ГВ
21354,B,yellow,ЦБУ: +3 неисправность модуля КПТ,Поступило ДС 21354 ЦБУ: +3 неисправность модуля КПТ,Более не активно ДС 21354 ЦБУ: +3 неисправность модуля КПТ
21360,A,red,Сил.Сх.: +3 БВ,Поступило ДС 21360 Сил.Сх.: +3 БВ,Более не активно ДС 21360 Сил.Сх.: +3 БВ
21361,A,red,Сил.Сх.: +3 БВ,Поступило ДС 21361 Сил.Сх.: +3 БВ,Более не активно ДС 21361 Сил.Сх.: +3 БВ
21362,C,green,Сил.Сх.: +3 БВ,Поступило ДС 21362 Сил.Сх.: +3 БВ,Более не активно ДС 21362 Сил.Сх.: +3 БВ
21363,A,red,Сил.Сх.: +3 БВ,Поступило ДС 21363 Сил.Сх.: +3 БВ,Более не активно ДС 21363 Сил.Сх.: +3 БВ
21364,A,red,Сил.Сх.: +3 БВ,Поступило ДС 21364 Сил.Сх.: +3 БВ,Более не активно ДС 21364 Сил.Сх.: +3 БВ
21365,M,yellow,Сил.Сх.: +3 БВ,БВ вагона +300 заблокирован с ИЧМ,БВ вагона +300 разблокированс ИЧМ
21366,B,yellow,Сил.Сх.: +3 Дроссель сетевого фильтра,Поступило ДС 21366 Сил.Сх.: +3 Дроссель сетевого фильтра,Более не активно ДС 21366 Сил.Сх.: +3 Дроссель сетевого фильтра
